"name"	"brewer"	"style"	"abv"	"ratings"	"score.overall"	"score.by.style"
"246"	"Mad River Steelhead Extra Pale Ale"	"Mad River Brewery"	"Golden Ale/Blond Ale"	5.6	393	51	82
"247"	"Mad River Steelhead Extra Stout"	"Mad River Brewery"	"Stout"	6.5	479	97	98
"248"	"Mad River Steelhead Scotch Porter"	"Mad River Brewery"	"Porter"	6	384	95	96
"249"	"Madison River Copper John Scotch Ale"	"Madison River Brewing Company"	"Scotch Ale"	7	43	48	20
"250"	"Madison River Hopper Pale Ale"	"Madison River Brewing Company"	"American Pale Ale"	5.7	55	75	66
"251"	"Madison River Irresistible Amber Ale"	"Madison River Brewing Company"	"Amber Ale"	5.5	37	31	31
"252"	"Madison River Salmon Fly Honey Rye"	"Madison River Brewing Company"	"Specialty Grain"	5.6	75	22	18
"253"	"Marble Bourbon Barrel-Aged Imperial Stout"	"Marble Brewery"	"Imperial Stout"	11	14	96	49
"254"	"Marble D.I.P.A."	"Marble Brewery"	"Imperial/Double IPA"	8	81	97	76
"255"	"Marble Double White Ale"	"Marble Brewery"	"Belgian White (Witbier)"	7	50	80	92
"256"	"Marble Reserve Ale"	"Marble Brewery"	"American Strong Ale"	9	50	97	89
"257"	"Johns Grocery Generations White Ale"	"Millstream Brewing Company"	"Belgian White (Witbier)"	5.2	265	81	93
"258"	"Millstream Colony Oatmeal Stout"	"Millstream Brewing Company"	"Sweet Stout"	5.6	192	51	30
"259"	"Millstream German Pilsner"	"Millstream Brewing Company"	"Classic German Pilsener"	4.5	23	54	95
"260"	"Millstream Hefe Weissen"	"Millstream Brewing Company"	"German Hefeweizen"	5.2	50	48	69
"261"	"Millstream Iowa Pale Ale"	"Millstream Brewing Company"	"India Pale Ale (IPA)"	5.7	135	73	42
"262"	"Millstream Oktoberfest"	"Millstream Brewing Company"	"Oktoberfest/Märzen"	5.4	73	64	90
"263"	"Millstream Schild Brau Amber"	"Millstream Brewing Company"	"Vienna"	4.9	195	62	94
"264"	"Millstream Schokolade Bock"	"Millstream Brewing Company"	"Dunkler Bock"	5.7	135	81	93
"265"	"Millstream Triple Raspberry"	"Millstream Brewing Company"	"Fruit Beer"	9.5	15	62	90
"266"	"Millstream Windmill Wheat"	"Millstream Brewing Company"	"Wheat Ale"	4.5	134	27	43
"267"	"Mission Amber Ale"	"Mission Brewery"	"Altbier"	5	59	58	60
"268"	"Mission Blonde Ale"	"Mission Brewery"	"Kölsch"	5	111	49	82
"269"	"Mission Dark Seas Imperial Stout"	"Mission Brewery"	"Imperial Stout"	9.8	130	99	81
"270"	"Mission Hefeweizen"	"Mission Brewery"	"German Hefeweizen"	5.3	71	41	46
"271"	"Mission IPA"	"Mission Brewery"	"India Pale Ale (IPA)"	6.8	271	94	88
"272"	"Mission Shipwrecked Double IPA"	"Mission Brewery"	"Imperial/Double IPA"	9.25	244	93	50
"273"	"Monocacy Riot Rye"	"Monocacy Brewing Company"	"Specialty Grain"	0	6	NA	NA
"274"	"Mother Road Gold Road Kölsch Style Ale"	"Mother Road Brewing Company"	"Kölsch"	0	6	NA	NA
"275"	"Mother Road Roadside American Ale"	"Mother Road Brewing Company"	"American Pale Ale"	0	5	NA	NA
"276"	"Mother Road Twin Arrows Brown Ale"	"Mother Road Brewing Company"	"Brown Ale"	0	6	NA	NA
"277"	"Moylans Chelsea Moylans Porter"	"Moylans Brewery & Restaurant"	"Porter"	5	126	91	90
"278"	"Moylans Dannys Irish Style Red Ale"	"Moylans Brewery & Restaurant"	"Irish Ale"	6.5	274	49	66
"279"	"Moylans Dragoons Dry Irish Stout"	"Moylans Brewery & Restaurant"	"Dry Stout"	5	384	92	96
"280"	"Moylans Gael-e-bration"	"Moylans Brewery & Restaurant"	"American Pale Ale"	0	6	NA	NA
"281"	"Moylans Hopsickle Imperial India Pale Ale"	"Moylans Brewery & Restaurant"	"Imperial/Double IPA"	9.2	1116	99	98
"282"	"Moylans Kilt Lifter Scotch Ale"	"Moylans Brewery & Restaurant"	"Scotch Ale"	8	597	77	47
"283"	"Moylans Moylander Double IPA"	"Moylans Brewery & Restaurant"	"Imperial/Double IPA"	8.5	777	99	94
"284"	"Moylans Nor Cal IPA"	"Moylans Brewery & Restaurant"	"India Pale Ale (IPA)"	6.5	180	94	90
"285"	"Moylans Old Blarney Barley Wine"	"Moylans Brewery & Restaurant"	"Barley Wine"	10	503	97	84
"286"	"Moylans Orange & Black Congrats Ale!"	"Moylans Brewery & Restaurant"	"Fruit Beer"	6	85	77	94
"287"	"Moylans Ryan OSullivans Imperial Stout"	"Moylans Brewery & Restaurant"	"Imperial Stout"	10	678	99	84
"288"	"Moylans Tipperary Pale Ale"	"Moylans Brewery & Restaurant"	"American Pale Ale"	5	318	88	89
"289"	"Moylans White Christmas Spiced Winter Lager (2008,2009)"	"Moylans Brewery & Restaurant"	"Spice/Herb/Vegetable"	6	104	46	50
"290"	"Narragansett Bock (Helles)"	"Narragansett Brewing Company"	"Heller Bock"	6.5	33	49	60
"291"	"Narragansett Cream Ale"	"Narragansett Brewing Company"	"Cream Ale"	5	37	43	79
"292"	"Narragansett Fest Lager"	"Narragansett Brewing Company"	"Oktoberfest/Märzen"	5.5	51	38	45
"293"	"Narragansett Lager Beer"	"Narragansett Brewing Company"	"Pale Lager"	5	238	13	85
"294"	"Narragansett Light"	"Narragansett Brewing Company"	"Pale Lager"	3.8	13	11	79
"295"	"Narragansett Porter"	"Narragansett Brewing Company"	"Porter"	7	78	59	37
"296"	"Narragansett Summer Ale"	"Narragansett Brewing Company"	"American Pale Ale"	4.2	64	47	35
"297"	"Odin Freyas Gold"	"Odin Brewing Company"	"Kölsch"	4.5	36	47	77
"298"	"Odin Gift Ruby Ale"	"Odin Brewing Company"	"Amber Ale"	5.4	34	77	92
"299"	"Odin Thors Equinox"	"Odin Brewing Company"	"Belgian Strong Ale"	9	21	85	63
"300"	"Pale Horse Hillbilly Blonde"	"Pale Horse Brewing Company"	"Golden Ale/Blond Ale"	0	8	NA	NA
"301"	"Pale Horse Hopyard Dog IPA"	"Pale Horse Brewing Company"	"India Pale Ale (IPA)"	7.2	42	66	35
"302"	"Pale Horse Mystic Wolf Amber"	"Pale Horse Brewing Company"	"Amber Ale"	6	7	NA	NA
"303"	"Pale Horse Ravens Roost"	"Pale Horse Brewing Company"	"Imperial/Double IPA"	0	2	NA	NA
"304"	"Pale Horse Stout"	"Pale Horse Brewing Company"	"Dry Stout"	4.4	10	67	48
"305"	"Pale Horse Winter Seasonal"	"Pale Horse Brewing Company"	"Scotch Ale"	9	3	NA	NA
"306"	"Philadelphia Fleur de Lehigh"	"Philadelphia Brewing Company"	"Spice/Herb/Vegetable"	4.2	71	34	39
"307"	"Philadelphia Joe Coffee Porter"	"Philadelphia Brewing Company"	"Porter"	5	101	84	73
"308"	"Philadelphia Kenzinger"	"Philadelphia Brewing Company"	"Dortmunder/Helles"	4.5	112	35	71
"309"	"Philadelphia Kilty Pleasure"	"Philadelphia Brewing Company"	"Scotch Ale"	8	37	77	47
"310"	"Philadelphia Newbold IPA"	"Philadelphia Brewing Company"	"India Pale Ale (IPA)"	7	118	59	29
"311"	"Philadelphia Pennsylvania Pale Ale"	"Philadelphia Brewing Company"	"American Pale Ale"	5.25	39	44	30
"312"	"Philadelphia Rowhouse Red"	"Philadelphia Brewing Company"	"Specialty Grain"	5	74	45	42
"313"	"Philadelphia Shackamaximum Stout"	"Philadelphia Brewing Company"	"Imperial Stout"	10	67	96	50
"314"	"Philadelphia Walt Wit"	"Philadelphia Brewing Company"	"Belgian White (Witbier)"	4	113	40	43
"315"	"Philadelphia Winter Wunder"	"Philadelphia Brewing Company"	"Spice/Herb/Vegetable"	6.5	30	44	48
"316"	"Port City Downright Pilsner"	"Port City Brewing Company"	"Pilsener"	4.8	28	70	96
"317"	"Port City Essential Pale Ale"	"Port City Brewing Company"	"American Pale Ale"	5.5	52	69	55
"318"	"Port City Monumental IPA"	"Port City Brewing Company"	"India Pale Ale (IPA)"	6.3	73	54	25
"319"	"Port City Optimal Wit"	"Port City Brewing Company"	"Belgian White (Witbier)"	5	53	65	81
"320"	"Port City Porter"	"Port City Brewing Company"	"Porter"	7.5	93	92	92
"321"	"Rahr & Sons Blonde Lager"	"Rahr & Sons Brewing"	"Dortmunder/Helles"	4.6	117	24	34
"322"	"Rahr & Sons Rahrs Red"	"Rahr & Sons Brewing"	"Vienna"	4.7	140	30	55
"323"	"Rahr & Sons Stormcloud IPA"	"Rahr & Sons Brewing"	"India Pale Ale (IPA)"	6	115	35	6
"324"	"Rahr & Sons Ugly Pug"	"Rahr & Sons Brewing"	"Schwarzbier"	4.75	198	39	32
"325"	"Red Lodge Bent Nail IPA"	"Red Lodge Ales"	"India Pale Ale (IPA)"	6.3	51	75	44
"326"	"Red Lodge Broken Nail Double IPA"	"Red Lodge Ales"	"Imperial/Double IPA"	8.5	9	74	19
"327"	"Red Lodge Czech Mate Pilsner"	"Red Lodge Ales"	"Pilsener"	5.5	9	39	81
"328"	"Red Lodge Glacier Ale"	"Red Lodge Ales"	"Altbier"	5.2	39	55	54
"329"	"Red Lodge Hefeweizen"	"Red Lodge Ales"	"Wheat Ale"	6	25	40	68
"330"	"Red Lodge Octoberfest"	"Red Lodge Ales"	"Oktoberfest/Märzen"	5.5	7	0	0
"331"	"Renegade Ryeteous Rye IPA"	"Renegade Brewing Company"	"India Pale Ale (IPA)"	7	25	72	41
"332"	"Rio Grande Desert Pils"	"Rio Grande Brewing Co. (Sierra Blanca Brewing)"	"Classic German Pilsener"	5.4	32	23	30
"333"	"Rio Grande India Pale Ale"	"Rio Grande Brewing Co. (Sierra Blanca Brewing)"	"India Pale Ale (IPA)"	5.8	36	45	13
"334"	"Rio Grande Outlaw Lager"	"Rio Grande Brewing Co. (Sierra Blanca Brewing)"	"California Common"	5.2	53	15	1
"335"	"Rio Grande Pancho Verde Chile Cerveza"	"Rio Grande Brewing Co. (Sierra Blanca Brewing)"	"Spice/Herb/Vegetable"	4.67	84	12	12
"336"	"Rivertown Blueberry Lager"	"Rivertown Brewing"	"Fruit Beer"	5.3	27	25	48
"337"	"Rivertown Bock"	"Rivertown Brewing"	"Dunkler Bock"	7.2	20	45	46
"338"	"Rivertown Dunkel"	"Rivertown Brewing"	"Dunkel"	5.8	43	53	85
"339"	"Rivertown Helles Lager"	"Rivertown Brewing"	"Dortmunder/Helles"	5.3	58	44	89
"340"	"Rivertown Hop Baron Doubledown IPA"	"Rivertown Brewing"	"Imperial/Double IPA"	8.5	59	88	40
"341"	"Rivertown Hop Bomber Pale Ale"	"Rivertown Brewing"	"American Pale Ale"	5.5	102	65	49
"342"	"Rivertown Jenneke"	"Rivertown Brewing"	"Belgian White (Witbier)"	6.1	12	39	42
"343"	"Rivertown Lambic"	"Rivertown Brewing"	"Lambic - Unblended"	6.3	106	96	84
"344"	"Rivertown Ojos Negros"	"Rivertown Brewing"	"Lambic - Fruit"	6.5	32	95	68
"345"	"Rivertown Oktoberfest"	"Rivertown Brewing"	"Oktoberfest/Märzen"	6.7	13	45	62
"346"	"Rivertown Old Sour Cherry Porter"	"Rivertown Brewing"	"Sour Ale/Wild Ale"	9	14	74	23
"347"	"Rivertown Pumpkin Ale"	"Rivertown Brewing"	"Spice/Herb/Vegetable"	5	41	75	84
"348"	"Rivertown Roebling Porter"	"Rivertown Brewing"	"Imperial/Strong Porter"	7.8	57	78	17
"349"	"Rivertown Unit 6 American Hefeweizen"	"Rivertown Brewing"	"Wheat Ale"	5.5	24	33	53
"350"	"Rivertown Ville De Rivere Geuze"	"Rivertown Brewing"	"Lambic - Gueuze"	6.4	29	92	34
"351"	"Rivertown Winter Ale"	"Rivertown Brewing"	"Spice/Herb/Vegetable"	0	41	46	50
"352"	"Rivertown Wit"	"Rivertown Brewing"	"Belgian White (Witbier)"	5.1	40	37	39
"353"	"Santa Fe Black IPA"	"Santa Fe Brewing Company"	"Black IPA"	7.1	29	81	35
"354"	"Santa Fe Chicken Killer Barley Wine"	"Santa Fe Brewing Company"	"Barley Wine"	10	328	91	51
"355"	"Santa Fe Freestyle Pilsner"	"Santa Fe Brewing Company"	"Pilsener"	5.5	34	62	94
"356"	"Santa Fe Happy Camper IPA"	"Santa Fe Brewing Company"	"India Pale Ale (IPA)"	6.6	160	89	74
"357"	"Santa Fe Imperial Java Stout"	"Santa Fe Brewing Company"	"Imperial Stout"	8	168	98	70
"358"	"Santa Fe Kickin Chicken"	"Santa Fe Brewing Company"	"Barley Wine"	12	62	89	48
"359"	"Santa Fe Nut Brown Ale"	"Santa Fe Brewing Company"	"Brown Ale"	5.2	196	42	36
"360"	"Santa Fe Oktoberfest"	"Santa Fe Brewing Company"	"Oktoberfest/Märzen"	6	36	49	78
"361"	"Santa Fe State Pen Porter"	"Santa Fe Brewing Company"	"Porter"	6.4	216	92	90
"362"	"Sierra Blanca Alien Wheat"	"Sierra Blanca Brewing Co"	"Belgian White (Witbier)"	5	15	26	22
"363"	"Sierra Blanca Imperial Stout"	"Sierra Blanca Brewing Co"	"Imperial Stout"	7.2	15	61	6
"364"	"Sierra Blanca Nut Brown Beer"	"Sierra Blanca Brewing Co"	"Brown Ale"	5	67	59	62
"365"	"Sierra Blanca Pale Ale"	"Sierra Blanca Brewing Co"	"American Pale Ale"	6	41	39	22
"366"	"Sierra Blanca Roswell Alien Amber Ale"	"Sierra Blanca Brewing Co"	"Amber Ale"	5.2	148	21	14
"367"	"Six Rivers Bluff Creek Pale Ale"	"Six Rivers Brewery"	"American Pale Ale"	5.5	28	30	11
"368"	"Six Rivers Chili Pepper Spicy Ale"	"Six Rivers Brewery"	"Spice/Herb/Vegetable"	6	47	31	36
"369"	"Six Rivers IPA"	"Six Rivers Brewery"	"India Pale Ale (IPA)"	7.2	67	77	45
"370"	"Six Rivers Moonstone Porter"	"Six Rivers Brewery"	"Porter"	6	47	63	40
"371"	"Six Rivers Paradise Moon Coffee Porter"	"Six Rivers Brewery"	"Porter"	6	63	81	65
"372"	"Straight To Ale Monkeynaut IPA"	"Straight To Ale"	"India Pale Ale (IPA)"	7.25	41	91	80
"373"	"Strike Blonde Ale"	"Strike Brewing Company"	"Golden Ale/Blond Ale"	0	2	NA	NA
"374"	"Strike Brown Ae"	"Strike Brewing Company"	"Brown Ale"	0	2	NA	NA
"375"	"Strike Imperial Red"	"Strike Brewing Company"	"Amber Ale"	0	4	NA	NA
"376"	"Strike IPA"	"Strike Brewing Company"	"India Pale Ale (IPA)"	0	5	NA	NA
"377"	"Strike Wit"	"Strike Brewing Company"	"Belgian White (Witbier)"	0	1	NA	NA
"378"	"Telluride Bridal Veil Rye Pale Ale"	"Telluride Brewing Company"	"Specialty Grain"	5.5	8	NA	NA
"379"	"Terrapin Georgia Theatre Session: Double Feature"	"Terrapin Beer Company"	"Abbey Dubbel"	7.7	69	52	35
"380"	"Terrapin Hopsecutioner India Pale Ale"	"Terrapin Beer Company"	"India Pale Ale (IPA)"	7.3	586	96	95
"381"	"Terrapin Rye Pale Ale"	"Terrapin Beer Company"	"American Pale Ale"	5.3	919	92	94
"382"	"Terrapin Side Project Phlux Capacitor"	"Terrapin Beer Company"	"American Strong Ale"	9.8	104	93	64
"383"	"Thunderhead Cornstalker Dark Wheat"	"Thunderhead Brewing Company"	"Wheat Ale"	5.2	27	48	84
"384"	"Thunderhead Golden Fraü"	"Thunderhead Brewing Company"	"Wheat Ale"	7.5	28	31	48
"385"	"Twisted Pine Big Shot Espresso Stout"	"Twisted Pine Brewing"	"Sweet Stout"	6	169	95	93
"386"	"Twisted Pine Billys Chilies"	"Twisted Pine Brewing"	"Spice/Herb/Vegetable"	5.1	130	30	34
"387"	"Twisted Pine Ghost Face Killah"	"Twisted Pine Brewing"	"Spice/Herb/Vegetable"	4.5	175	14	15
"388"	"Twisted Pine Hoppy Boy IPA"	"Twisted Pine Brewing"	"India Pale Ale (IPA)"	6.2	210	50	21
"389"	"Twisted Pine Raspberry Wheat Ale"	"Twisted Pine Brewing"	"Fruit Beer"	5.1	80	25	48
"390"	"Upslope Brown Ale"	"Upslope Brewing Company"	"Brown Ale"	6.7	38	87	93
"391"	"Upslope Christmas Ale"	"Upslope Brewing Company"	"Spice/Herb/Vegetable"	8.2	13	41	45
"392"	"Upslope Craft Lager"	"Upslope Brewing Company"	"Premium Lager"	4.8	22	26	63
"393"	"Upslope India Pale Ale"	"Upslope Brewing Company"	"India Pale Ale (IPA)"	7.2	94	50	21
"394"	"Upslope Pale Ale"	"Upslope Brewing Company"	"American Pale Ale"	5.8	53	40	24
"395"	"Voodoo 4 Seasons IPA"	"Voodoo Brewing Co."	"India Pale Ale (IPA)"	0	109	78	46
"396"	"Voodoo Big Black Voodoo Daddy"	"Voodoo Brewing Co."	"Imperial Stout"	12	241	99	85
"397"	"Voodoo Gran Met"	"Voodoo Brewing Co."	"Belgian Strong Ale"	9.5	98	55	31
"398"	"Voodoo Love Child"	"Voodoo Brewing Co."	"Fruit Beer"	9.5	147	69	92
"399"	"Voodoo White Magick of the Sun"	"Voodoo Brewing Co."	"Belgian White (Witbier)"	6	104	62	78
"400"	"Voodoo Wynonas Big Brown Ale"	"Voodoo Brewing Co."	"Brown Ale"	7.2	126	91	96
