Unique Reference Number,Local Authority Code,Local Authority Name,Establishment Number,Establishment Name,Type Of Establishment,Establishment Status,Reason Establishment Opened,Open Date,Reason Establishment Closed,Close Date,Phase Of Education,Statutory Low Age,Statutory High Age,Boarders,Official Sixth Form,Gender,Religious Character,Diocese,Admissions Policy,School Capacity,Special Classes,Census Date,Number Of Pupils,Number Of Boys,Number Of Girls,Percentage Claiming Free School Meals,Trust School,Trust Name,School Sponsored,School Sponsor,Federation,Federation Name,Unique Property Reference Number,Further Higher Education Identifier,Further Education Type,Ofsted Last Inspected,Ofsted Special Measures,Last Changed Date,Street,Locality,Address 3,Town,County,Postcode,Website,Telephone Number,Head Title,Head First Name,Head Last Name,Head Honours,Head Preferred Job Title,Teen Mothers,Teen Mothers Places,Child Care Facilities,Special Education Needs Pupil Referral Unit,Emotional Behavioural Difficulties,Full Time Provision,Education By Other,Section 41 Approved,Special Education Needs 1,Special Education Needs 2,Region,Administrative Ward,Parliamentary Constituency,Urban Rural,GSSLA Code,Easting,Northing,Middle Super Output Area,Lower Super Output Area,Boarding Establishment,Previous Local Authority Code,Previous Local Authority Name,Previous Establishment Number,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID
101491,304,Brent,1003,College Green School and Services,LA Nursery School,Open,Not applicable,,Not applicable,,Nursery,3,5,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,,Not applicable,16/01/2014,99,55,45,35%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,19/09/2012,Not in special measures,26/06/2014,161 College Road,,,London,,NW10 3PH,,2089692179,Mrs,Wendy,Yianni,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Brondesbury Park,Hampstead and Kilburn,Urban > 10k - less sparse,E09000005,523020,183489,Brent 030,Brent 030D,,999,,,-0.227663,51.536918,Unknown,24/09/2015,"(51.536918, -0.227663)",303
101492,304,Brent,1004,Granville Plus Nursery School,LA Nursery School,Open,Not applicable,,Not applicable,,Nursery,3,5,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,,Not applicable,16/01/2014,101,60,40,80%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,11/06/2013,Not in special measures,18/06/2014,Granville Road,,,London,,NW6 5RA,,2076044620,Ms,Lesley,Benson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,London,Kilburn,Hampstead and Kilburn,Urban > 10k - less sparse,E09000005,525081,183081,Brent 034,Brent 034D,,999,,,-0.198108,51.532799,Unknown,24/09/2015,"(51.532799, -0.198108)",304
101495,304,Brent,2000,Anson Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,315,No Special Classes,16/01/2014,409,215,195,22.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,29/04/2015,Not in special measures,05/05/2015,Anson Road,,,London,,NW2 4AB,http://www.ansonprimaryschool.com,2084528552,Ms,S,Lansiquot,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Mapesbury,Brent Central,Urban > 10k - less sparse,E09000005,523551,185363,Brent 015,Brent 015E,,999,,,-0.219354,51.553644,Unknown,24/09/2015,"(51.553644, -0.219354)",305
101496,304,Brent,2003,Brentfield Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,630,No Special Classes,16/01/2014,589,300,290,33.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,21/06/2012,Not in special measures,18/06/2014,41-43 Meadow Garth,,,London,,NW10 0SL,,2089655326,Mrs,P,Riddle,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Stonebridge,Brent Central,Urban > 10k - less sparse,E09000005,520547,184530,Brent 021,Brent 021A,,999,,,-0.262946,51.546807,Unknown,24/09/2015,"(51.546807, -0.262946)",306
101497,304,Brent,2006,Byron Court Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,630,No Special Classes,16/01/2014,630,315,315,9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,22/03/2012,Not in special measures,18/06/2014,Spencer Road,,,Wembley,Middlesex,HA0 3SF,,2089042785,Mrs,M,Clark,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Northwick Park,Brent North,Urban > 10k - less sparse,E09000005,517138,186959,Brent 008,Brent 008E,,999,,,-0.311277,51.569355,Unknown,24/09/2015,"(51.569355, -0.311277)",307
101498,304,Brent,2007,Carlton Vale Infant School,Community School,Open,Not applicable,,Not applicable,,Primary,3,7,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,186,No Special Classes,16/01/2014,217,110,110,40.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,28/01/2014,Not in special measures,18/06/2014,Malvern Place,Kilburn,,London,,NW6 5PX,,2076240348,Ms,H M,Mooney,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kilburn,Hampstead and Kilburn,Urban > 10k - less sparse,E09000005,524936,182963,Brent 034,Brent 034C,,999,,,-0.200239,51.531771,Unknown,24/09/2015,"(51.531771, -0.200239)",308
101499,304,Brent,2017,Harlesden Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,630,No Special Classes,16/01/2014,235,115,120,34.8%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,15/07/2014,Not in special measures,01/09/2014,Acton Lane,,,London,,NW10 8UT,,2089657445,Ms,L,Perrier,,Acting Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Harlesden,Brent Central,Urban > 10k - less sparse,E09000005,521137,183464,Brent 031,Brent 031C,,999,,,-0.254808,51.537101,Unknown,24/09/2015,"(51.537101, -0.254808)",309
101500,304,Brent,2018,Mount Stewart Junior School,Community School,Open,Not applicable,,Not applicable,,Primary,7,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,360,No Special Classes,16/01/2014,358,180,180,9.8%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,10/10/2012,Not in special measures,18/06/2014,Mount Stewart Avenue,Kenton,,Harrow,,HA3 0JX,,2089071977,Mrs,B,Rai,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kenton,Brent North,Urban > 10k - less sparse,E09000005,517838,187953,Brent 004,Brent 004B,,999,,,-0.300849,51.578143,Unknown,24/09/2015,"(51.578143, -0.300849)",310
101501,304,Brent,2019,Mount Stewart Infant School,Community School,Open,Not applicable,,Not applicable,,Primary,5,7,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,270,No Special Classes,16/01/2014,321,165,155,8.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,17/06/2010,Not in special measures,18/06/2014,Carlisle Gardens,Mount Stewart Avenue,Kenton,Harrow,,HA3 0JX,http://www.stewartinf.brent.sch.uk,2089075113,Mrs,Naomi,Ninvalle,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kenton,Brent North,Urban > 10k - less sparse,E09000005,517772,187995,Brent 004,Brent 004B,,999,,,-0.301786,51.578534,Unknown,24/09/2015,"(51.578534, -0.301786)",311
101502,304,Brent,2020,Uxendon Manor Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,477,260,215,13.3%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,10/07/2013,Not in special measures,18/06/2014,Vista Way,Kenton,,Harrow,,HA3 0UX,http://www.uxendonmanor.com,2089075019,Mr,Jonathan,Parry,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kenton,Brent North,Urban > 10k - less sparse,E09000005,518026,188544,Brent 003,Brent 003D,,999,,,-0.297938,51.583415,Unknown,24/09/2015,"(51.583415, -0.297938)",312
101503,304,Brent,2024,Kingsbury Green Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,630,Has Special Classes,16/01/2014,675,355,320,16.4%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,26/01/2011,Not in special measures,18/06/2014,Old Kenton Lane,Kingsbury,,London,,NW9 9ND,http://www.kgreen.brent.sch.uk,2082046423,Ms,L,Wynne,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,HI - Hearing Impairment,,London,Fryent,Brent North,Urban > 10k - less sparse,E09000005,519977,188577,Brent 003,Brent 003A,,999,,,-0.269782,51.5833,Unknown,24/09/2015,"(51.5833, -0.269782)",313
101504,304,Brent,2028,Leopold Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,414,No Special Classes,16/01/2014,458,230,230,25.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,28/11/2011,Not in special measures,18/06/2014,Hawkshead Road,Willesden,,London,,NW10 9UR,,2084595654,Mrs,Audrey,Kendall,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Harlesden,Brent Central,Urban > 10k - less sparse,E09000005,521666,184295,Brent 025,Brent 025E,,999,,,-0.246897,51.544455,Unknown,24/09/2015,"(51.544455, -0.246897)",314
101505,304,Brent,2030,Lyon Park Junior School,Community School,Open,Not applicable,,Not applicable,,Primary,7,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,482,No Special Classes,16/01/2014,480,260,220,12.1%,Not applicable,,Not applicable,,Supported by a federation,The Federation of Lyon Park Infant School and Lyon Park Junior School,,,Not applicable,02/05/2013,Not in special measures,18/06/2014,Vincent Road,,,Wembley,,HA0 4HH,http://www.millenniumschools.co.uk/pub/brent/lyonpark-js/a.html?981972395,2089021479,Mrs,N M,Yudin,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Alperton,Brent North,Urban > 10k - less sparse,E09000005,518822,184117,Brent 026,Brent 026C,,999,,,-0.28795,51.543461,Unknown,24/09/2015,"(51.543461, -0.28795)",315
101506,304,Brent,2031,Lyon Park Infant School,Community School,Open,Not applicable,,Not applicable,,Primary,3,7,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,362,No Special Classes,16/01/2014,441,230,210,8%,Not applicable,,Not applicable,,Supported by a federation,The Federation of Lyon Park Infant School and Lyon Park Junior School,,,Not applicable,17/12/2013,Not in special measures,18/06/2014,Vincent Road,,,Wembley,,HA0 4HH,,2089025454,Mrs,Nicola,Yudin,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Alperton,Brent North,Urban > 10k - less sparse,E09000005,518822,184117,Brent 026,Brent 026C,,999,,,-0.28795,51.543461,Unknown,24/09/2015,"(51.543461, -0.28795)",316
101507,304,Brent,2033,Malorees Infant School,Community School,Open,Not applicable,,Not applicable,,Primary,3,7,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,180,No Special Classes,16/01/2014,217,115,100,11.8%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,14/11/2013,Not in special measures,18/06/2014,Christchurch Avenue,,,London,,NW6 7PB,,2084593038,Ms,S,Davies,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Brondesbury Park,Hampstead and Kilburn,Urban > 10k - less sparse,E09000005,523968,184019,Brent 030,Brent 030B,,999,,,-0.213815,51.541474,Unknown,24/09/2015,"(51.541474, -0.213815)",317
101508,304,Brent,2034,Northview Junior and Infant School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,210,No Special Classes,16/01/2014,240,110,130,23.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,22/11/2011,Not in special measures,09/09/2014,Northview Crescent,,,London,,NW10 1RD,,2084507982,Mrs,Judy,Keen,B.A.Hons,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Dudden Hill,Brent Central,Urban > 10k - less sparse,E09000005,521591,185552,Brent 014,Brent 014D,,999,,,-0.247544,51.555768,Unknown,24/09/2015,"(51.555768, -0.247544)",318
101509,304,Brent,2038,Park Lane Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,483,245,240,14.8%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,29/01/2001,Not in special measures,18/06/2014,Park Lane,,,Wembley,,HA9 7RY,http://www.users.globalnet.co.uk/~mafran/,2089025006,Mr,Martin,Francis,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Wembley Central,Brent North,Urban > 10k - less sparse,E09000005,518377,185485,Brent 020,Brent 020D,,999,,,-0.293904,51.555849,Unknown,24/09/2015,"(51.555849, -0.293904)",319
101510,304,Brent,2039,Preston Park Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,840,No Special Classes,16/01/2014,840,425,415,17.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,26/02/2014,Not in special measures,01/09/2014,College Road,,,Wembley,,HA9 8RJ,,2089043602,Mr,John,Redpath,M.A,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Preston,Brent North,Urban > 10k - less sparse,E09000005,517958,187213,Brent 007,Brent 007B,,999,,,-0.299366,51.571467,Unknown,24/09/2015,"(51.571467, -0.299366)",320
101511,304,Brent,2041,Roe Green Junior School,Community School,Open,Not applicable,,Not applicable,,Primary,7,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,480,No Special Classes,16/01/2014,477,260,215,11.3%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,08/11/2011,Not in special measures,18/06/2014,Princes Avenue,Kingsbury,,London,,NW9 9JL,,2082045221,Ms,M,Loosemore,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Queensbury,Brent North,Urban > 10k - less sparse,E09000005,519786,189328,Brent 001,Brent 001C,,999,,,-0.272281,51.59009,Unknown,24/09/2015,"(51.59009, -0.272281)",321
101512,304,Brent,2042,Roe Green Infant School,Community School,Open,Not applicable,,Not applicable,,Primary,3,9,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,650,No Special Classes,16/01/2014,439,235,205,10%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,06/07/2010,Not in special measures,02/10/2014,Princes Avenue,Kingsbury,,London,,NW9 9JL,,2082043531,Mrs,Nicole,Lobo,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Queensbury,Brent North,Urban > 10k - less sparse,E09000005,519786,189328,Brent 001,Brent 001C,,999,,,-0.272281,51.59009,Unknown,24/09/2015,"(51.59009, -0.272281)",322
101515,304,Brent,2049,Barham Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,630,No Special Classes,16/01/2014,778,415,365,11.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,09/02/2011,Not in special measures,18/06/2014,Danethorpe Road,,,Wembley,,HA0 4RQ,,2089023706,Ms,Karen,Giles,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Wembley Central,Brent North,Urban > 10k - less sparse,E09000005,517505,184641,Brent 019,Brent 019C,,999,,,-0.306758,51.548446,Unknown,24/09/2015,"(51.548446, -0.306758)",323
101518,304,Brent,2053,Wykeham Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,382,No Special Classes,16/01/2014,561,280,285,28.7%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,24/03/2015,Not in special measures,02/04/2015,Aboyne Road,,,London,,NW10 0EX,,2084508425,Mr,Everton,Sharpe,,Acting Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Welsh Harp,Brent Central,Urban > 10k - less sparse,E09000005,521071,186327,Brent 014,Brent 014E,,999,,,-0.254775,51.562845,Unknown,24/09/2015,"(51.562845, -0.254775)",324
101519,304,Brent,2055,Elsley Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,464,240,225,19.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,16/01/2012,Not in special measures,18/09/2014,Tokyngton Avenue,,,Wembley,,HA9 6HT,http://www.elsley.brent.sch.uk,2089028003,Mr,Raphael,Moss,Bsc(Hons) Pgce Npqh,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Wembley Central,Brent North,Urban > 10k - less sparse,E09000005,518881,184714,Brent 026,Brent 026E,,999,,,-0.286898,51.548814,Unknown,24/09/2015,"(51.548814, -0.286898)",325
101520,304,Brent,2056,Donnington Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,210,No Special Classes,16/01/2014,240,140,100,29%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,07/02/2013,Not in special measures,18/06/2014,Uffington Road,,,London,,NW10 3TL,,2084510761,Mr,R,Roberts,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Willesden Green,Brent Central,Urban > 10k - less sparse,E09000005,522602,184026,Brent 024,Brent 024D,,999,,,-0.2335,51.541835,Unknown,24/09/2015,"(51.541835, -0.2335)",326
101521,304,Brent,2057,The Stonebridge School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,305,No Special Classes,16/01/2014,591,335,255,33.3%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,20/03/2013,Not in special measures,12/11/2014,Shakespeare Avenue,,,London,,NW10 8NG,,2089656965,,Sophie,Allen,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Stonebridge,Brent Central,Urban > 10k - less sparse,E09000005,520512,183840,Brent 027,Brent 027E,,999,,,-0.263686,51.540613,Unknown,24/09/2015,"(51.540613, -0.263686)",327
101522,304,Brent,2064,Newfield Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,451,230,220,23.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,14/05/2015,Not in special measures,02/06/2015,Longstone Avenue,Willesden,,London,,NW10 3UD,http://www.newfield.brent.sch.uk,2089611566,Ms,Sarah,Bolt,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Harlesden,Brent Central,Urban > 10k - less sparse,E09000005,521873,184023,Brent 025,Brent 025C,,999,,,-0.244008,51.541966,Unknown,24/09/2015,"(51.541966, -0.244008)",328
101524,304,Brent,2066,Mitchell Brook Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,Has Special Classes,16/01/2014,528,275,255,50.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,07/10/2010,Not in special measures,18/06/2014,Bridge Road,,,London,,NW10 9BX,http://www.mbrook.brent.sch.uk,2084591392,Ms,Theresa,Landreth,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Stonebridge,Brent Central,Urban > 10k - less sparse,E09000005,521012,184771,Brent 021,Brent 021B,,999,,,-0.25616,51.548874,Unknown,24/09/2015,"(51.548874, -0.25616)",329
101525,304,Brent,2067,Furness Primary School,Foundation School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,532,275,255,31.2%,-,,Not applicable,,Supported by a federation,The Federation of Oakington and Furness Primary Schools,,,Not applicable,13/06/2013,Not in special measures,18/06/2014,Furness Road,,,London,,NW10 5YT,http://www.furness.brent.sch.uk,2089655977,Mrs,Sylvia,Libson,,Executive Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kensal Green,Brent Central,Urban > 10k - less sparse,E09000005,522256,183121,Brent 031,Brent 031F,,999,,,-0.238801,51.533777,Unknown,24/09/2015,"(51.533777, -0.238801)",330
101526,304,Brent,2068,Chalkhill Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,540,No Special Classes,16/01/2014,538,275,260,28.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,07/07/2011,Not in special measures,22/10/2014,Barnhill Road,,,Wembley,,HA9 9YP,http://www.chalkhillprimaryschool.co.uk,2089044508,Ms,Rose,Ashton,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Barnhill,Brent North,Urban > 10k - less sparse,E09000005,519973,186213,Brent 009,Brent 009C,,999,,,-0.270646,51.562055,Unknown,24/09/2015,"(51.562055, -0.270646)",331
101527,304,Brent,2070,Salusbury Primary School,Community School,Open,New Provision,01/01/1900,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,616,No Special Classes,16/01/2014,663,340,325,15.9%,Not applicable,,Not applicable,,Not under a federation,,10041605,,Not applicable,02/10/2013,Not in special measures,03/02/2015,Salusbury Road,Kilburn,,London,,NW6 6RG,http://www.salusbury.brent.sch.uk,2076240311,Ms,L,Kiernan,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Queens Park,Hampstead and Kilburn,Urban > 10k - less sparse,E09000005,524562,183530,Brent 032,Brent 032B,,999,,,-0.205427,51.536949,Unknown,24/09/2015,"(51.536949, -0.205427)",332
101528,304,Brent,2071,Oliver Goldsmith Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,371,No Special Classes,16/01/2014,461,230,230,12.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,08/05/2014,Not in special measures,24/04/2015,Coniston Gardens,Kingsbury,,London,,NW9 0BD,,2082056038,Mr,J,Simmons,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Fryent,Brent North,Urban > 10k - less sparse,E09000005,520811,188560,Brent 002,Brent 002B,,999,,,-0.257757,51.582969,Unknown,24/09/2015,"(51.582969, -0.257757)",333
101530,304,Brent,2073,Mora Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,452,230,220,24.3%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,03/12/2014,Not in special measures,05/01/2015,Mora Road,Cricklewood,,London,,NW2 6TD,http://www.mora.brent.sch.uk,2084522634,Ms,Nicola,Denton,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Mapesbury,Brent Central,Urban > 10k - less sparse,E09000005,523143,185937,Brent 015,Brent 015B,,999,,,-0.225035,51.558892,Unknown,24/09/2015,"(51.558892, -0.225035)",334
101531,304,Brent,2074,Fryent Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,436,No Special Classes,16/01/2014,584,300,285,15%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,04/06/2014,Not in special measures,21/07/2014,Church Lane,Kingsbury,,London,,NW9 8JD,http://www.fryent.brent.sch.uk,2082054047,Mrs,Jean,Thwaites,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Fryent,Brent North,Urban > 10k - less sparse,E09000005,520390,187901,Brent 005,Brent 005B,,999,,,-0.264056,51.577137,Unknown,24/09/2015,"(51.577137, -0.264056)",335
101532,304,Brent,2075,Braintcroft Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,770,No Special Classes,16/01/2014,770,380,390,26.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,19/11/2013,Not in special measures,23/09/2014,Warren Road,,,London,,NW2 7LL,,2084522413,Ms,Kim,Beat,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Dollis Hill,Brent Central,Urban > 10k - less sparse,E09000005,521772,186538,Brent 010,Brent 010A,,999,,,-0.244594,51.564591,Unknown,24/09/2015,"(51.564591, -0.244594)",336
101533,304,Brent,3301,Christ Church CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,220,105,115,29.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,02/10/2014,Not in special measures,04/11/2014,Clarence Road,Kilburn,,London,,NW6 7TE,,2076244967,Ms,Joy,Donaldson,,Head Teacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kilburn,Hampstead and Kilburn,Urban > 10k - less sparse,E09000005,524603,184020,Brent 028,Brent 028B,,999,,,-0.204663,51.541344,Unknown,24/09/2015,"(51.541344, -0.204663)",337
101534,304,Brent,3302,John Keble CofE Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,399,No Special Classes,16/01/2014,452,245,210,35.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,26/09/2013,Not in special measures,18/06/2014,Crownhill Road,,,London,,NW10 4DR,,2089655072,Mrs,Alison,Loffler,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kensal Green,Brent Central,Urban > 10k - less sparse,E09000005,521673,183577,Brent 031,Brent 031E,,999,,,-0.247045,51.538001,Unknown,24/09/2015,"(51.538001, -0.247045)",338
